query,candidate_command,label,os,recent_history,combined_text,heuristic_rank,token_overlap_ratio,query_length,candidate_length,has_pipe,has_sudo,has_git,has_docker,has_python,is_destructive
find large files in current directory,find . -type f -size +100M,1,linux,"du -sh .
ls -lah",find large files in current directory [SEP] find . -type f -size +100M,1,0.16666666666666666,6,6,0,0,0,0,0,0
find large files in current directory,du -sh *,0,linux,"du -sh .
ls -lah",find large files in current directory [SEP] du -sh *,2,0.0,6,2,0,0,0,0,0,0
find large files in current directory,ps aux | grep python,0,linux,"du -sh .
ls -lah",find large files in current directory [SEP] ps aux | grep python,3,0.0,6,4,1,0,0,0,1,0
find large files in current directory,git clone https://github.com/user/repo.git,0,linux,"du -sh .
ls -lah",find large files in current directory [SEP] git clone https://github.com/user/repo.git,4,0.0,6,3,0,0,1,0,0,0
find large files in current directory,mkdir project && cd project,0,linux,"du -sh .
ls -lah",find large files in current directory [SEP] mkdir project && cd project,5,0.0,6,4,0,0,0,0,0,0
show disk usage for folders here,du -sh *,1,linux,"pwd
ls",show disk usage for folders here [SEP] du -sh *,1,0.0,6,2,0,0,0,0,0,0
show disk usage for folders here,ls -lhS,0,linux,"pwd
ls",show disk usage for folders here [SEP] ls -lhS,2,0.0,6,2,0,0,0,0,0,0
show disk usage for folders here,wc -l file.txt,0,linux,"pwd
ls",show disk usage for folders here [SEP] wc -l file.txt,3,0.0,6,3,0,0,0,0,0,0
show disk usage for folders here,tar -xzvf archive.tar.gz,0,linux,"pwd
ls",show disk usage for folders here [SEP] tar -xzvf archive.tar.gz,4,0.0,6,3,0,0,0,0,0,0
show disk usage for folders here,du -h,0,linux,"pwd
ls",show disk usage for folders here [SEP] du -h,5,0.0,6,2,0,0,0,0,0,0
search for text recursively in project,"grep -R ""TODO"" .",1,linux,"cd project
ls -la","search for text recursively in project [SEP] grep -R ""TODO"" .",1,0.0,6,4,0,0,0,0,0,0
search for text recursively in project,find . -type f -mtime -1,0,linux,"cd project
ls -la",search for text recursively in project [SEP] find . -type f -mtime -1,2,0.0,6,6,0,0,0,0,0,0
search for text recursively in project,rm -rf old_folder,0,linux,"cd project
ls -la",search for text recursively in project [SEP] rm -rf old_folder,3,0.0,6,3,0,0,0,0,0,1
search for text recursively in project,ip addr show,0,linux,"cd project
ls -la",search for text recursively in project [SEP] ip addr show,4,0.0,6,3,0,0,0,0,0,0
search for text recursively in project,mkdir project && cd project,0,linux,"cd project
ls -la",search for text recursively in project [SEP] mkdir project && cd project,5,0.16666666666666666,6,4,0,0,0,0,0,0
list files sorted by size,ls -lhS,1,linux,"ls
pwd",list files sorted by size [SEP] ls -lhS,1,0.0,5,2,0,0,0,0,0,0
list files sorted by size,ls -la,0,linux,"ls
pwd",list files sorted by size [SEP] ls -la,2,0.0,5,2,0,0,0,0,0,0
list files sorted by size,lsof -i :3000,0,linux,"ls
pwd",list files sorted by size [SEP] lsof -i :3000,3,0.0,5,3,0,0,0,0,0,0
list files sorted by size,pip install requests,0,linux,"ls
pwd",list files sorted by size [SEP] pip install requests,4,0.0,5,3,0,0,0,0,1,0
list files sorted by size,find . -type f -size +100M,0,linux,"ls
pwd",list files sorted by size [SEP] find . -type f -size +100M,5,0.0,5,6,0,0,0,0,0,0
show running python processes,ps aux | grep python,1,linux,"top
htop",show running python processes [SEP] ps aux | grep python,1,0.25,4,4,1,0,0,0,1,0
show running python processes,git log --oneline --graph --decorate -10,0,linux,"top
htop",show running python processes [SEP] git log --oneline --graph --decorate -10,2,0.0,4,6,0,0,1,0,0,0
show running python processes,tar -czvf archive.tar.gz folder/,0,linux,"top
htop",show running python processes [SEP] tar -czvf archive.tar.gz folder/,3,0.0,4,4,0,0,0,0,0,0
show running python processes,find . -type f -mtime -1,0,linux,"top
htop",show running python processes [SEP] find . -type f -mtime -1,4,0.0,4,6,0,0,0,0,0,0
show running python processes,docker build -t app:latest .,0,linux,"top
htop",show running python processes [SEP] docker build -t app:latest .,5,0.0,4,5,0,0,0,1,0,0
kill process on port 8000,lsof -ti :8000 | xargs kill -9,1,macos,"python app.py
lsof -i :8000",kill process on port 8000 [SEP] lsof -ti :8000 | xargs kill -9,1,0.2,5,6,1,0,0,0,0,0
kill process on port 8000,lsof -i :3000,0,macos,"python app.py
lsof -i :8000",kill process on port 8000 [SEP] lsof -i :3000,2,0.0,5,3,0,0,0,0,0,0
kill process on port 8000,python main.py,0,macos,"python app.py
lsof -i :8000",kill process on port 8000 [SEP] python main.py,3,0.0,5,2,0,0,0,0,1,0
kill process on port 8000,head -n 20 file.txt,0,macos,"python app.py
lsof -i :8000",kill process on port 8000 [SEP] head -n 20 file.txt,4,0.0,5,4,0,0,0,0,0,0
kill process on port 8000,mkdir project && cd project,0,macos,"python app.py
lsof -i :8000",kill process on port 8000 [SEP] mkdir project && cd project,5,0.0,5,4,0,0,0,0,0,0
find which process is using port 3000,lsof -i :3000,1,macos,"node server.js
netstat -an",find which process is using port 3000 [SEP] lsof -i :3000,1,0.0,7,3,0,0,0,0,0,0
